Product_name,Product_Price,Company Product,Product_Warranty_Years,Product_Min_order,Product_Rating,Product_Raters,product_feedback,Product_Delivery_ResponseRate,Product_Sale,Product_Reviews,Product_Port,Prod_origin_place,polarity scores,polar_review,Predicted_Raters,Predicted_Reviews,Predicted_Rating,Product suppliers
Plus Series Switches ,1850,Jinxian technology Co. Ltd.,5,1 Piece,4.9,18,Good response,90,0,15,Shenzhen  HK,Guangdong China,0.4404,Positive,154,123,5,94.1
Plus Series Switches ,1850,Jinxian technology Co. Ltd.,5,1 Piece,4.9,18,Good response,90,0,15,China Shenzhen Hong Kong Moscow,Liaoning China,0.4404,Positive,101,123,3.9,94.1
Plus Series Switches ,1850,Jinxian technology Co. Ltd.,5,1 Piece,4.9,18,Good response,90,0,15,Shanghai Ningbo Shenzhen for PoE Extender,Zhejiang China,0.4404,Positive,90,123,3.7,94.1
Plus Series Switches ,1850,Jinxian technology Co. Ltd.,5,1 Piece,4.9,18,Good response,90,0,15,shenzhen,Guangdong China,0.4404,Positive,154,123,5,94.1
Plus Series Switches ,1850,Jinxian technology Co. Ltd.,5,1 Piece,4.9,18,Good response,90,0,15,Shenzhen,Liaoning China,0.4404,Positive,228,123,4.4,94.1
Plus Series Switches ,1850,Jinxian technology Co. Ltd.,5,1 Piece,4.9,18,Good response,90,0,15,ShenzhenChina,Guangdong China,0.4404,Positive,154,123,5,94.1
Plus Series Switches ,1850,Jinxian technology Co. Ltd.,5,1 Piece,4.9,18,Good response,90,0,15,Shenzhen,Liaoning China,0.4404,Positive,154,123,5,94.1
Huawei NE20ES Router,390,Jinxian technology Co. Ltd.,2,1 Piece,5,13,Great partner,90,0,15,Shenzhen,Guangdong China,0.6249,Positive,103,123,5,91.9
Dot Matrix Impact printer,100,Jinxian technology Co. Ltd.,9,1 Unit,4.7,17,Fast delivery,97,0,15,hong Kong,Zhejiang China,0,Neutral,134,123,4,88.4
Dot Matrix Impact printer,100,Jinxian technology Co. Ltd.,9,1 Unit,4.7,17,Fast delivery,97,0,15,Shenzhen,Zhejiang China,0,Neutral,154,123,5,88.4
Dot Matrix Impact printer,100,Jinxian technology Co. Ltd.,9,1 Unit,4.7,17,Fast delivery,97,0,15,shenzhen china,China,0,Neutral,95,123,3.8,88.4
Dot Matrix Impact printer,100,Jinxian technology Co. Ltd.,9,1 Unit,4.7,17,Fast delivery,97,0,15,guangzhou,Guangdong China,0,Neutral,220,123,5,88.4
Dot Matrix Impact printer,100,Jinxian technology Co. Ltd.,9,1 Unit,4.7,17,Fast delivery,97,0,15,shenzhen,China,0,Neutral,134,123,4.7,88.4
Dot Matrix Impact printer,100,Jinxian technology Co. Ltd.,9,1 Unit,4.7,17,Fast delivery,97,0,15,Shenzhen,Guangdong China,0,Neutral,93,123,3.8,88.4
Dot Matrix Impact printer,100,Jinxian technology Co. Ltd.,9,1 Unit,4.7,17,Fast delivery,97,0,15,shenzhen,China,0,Neutral,154,123,5,88.4
Dot Matrix Impact printer,100,Jinxian technology Co. Ltd.,9,1 Unit,4.7,17,Fast delivery,97,0,15,hongkong,Guangdong China,0,Neutral,154,123,5,88.4
 1D Handheld Laser Wireless Barcode Scanner ,500,Jinxian technology Co. Ltd.,3,50 Pieces,5,19,Customer service,95,0,15,hongkong,Guangdong China,0,Neutral,154,123,5,87.8
 2D Handheld Laser Wireless Barcode Scanner ,500,Jinxian technology Co. Ltd.,3,50 Pieces,5,19,Customer service,95,0,15,Shenzhen,Liaoning China,0,Neutral,108,131,4.1,87.8
 3D Handheld Laser Wireless Barcode Scanner ,500,Guangzhou technology Co.Ltd.,3,50 Pieces,5,19,Customer service,95,0,15,Shenzhen or Hongkong,China,0,Neutral,154,123,5,87.8
 4D Handheld Laser Wireless Barcode Scanner ,500,Jinxian technology Co. Ltd.,3,50 Pieces,5,19,Customer service,95,0,15,Shenzhen,Guangdong China,0,Neutral,138,123,5,87.8
 5D Handheld Laser Wireless Barcode Scanner ,500,Jinxian technology Co. Ltd.,3,50 Pieces,5,19,Customer service,95,0,15,guangzhou,Liaoning China,0,Neutral,121,125,4.5,87.8
 6D Handheld Laser Wireless Barcode Scanner ,500,Jinxian technology Co. Ltd.,3,50 Pieces,5,19,Customer service,95,0,15,hongkong,China,0,Neutral,99,130,3.9,87.8
 7D Handheld Laser Wireless Barcode Scanner ,500,Jinxian technology Co. Ltd.,3,50 Pieces,5,19,Customer service,95,0,15,hongkong,Guangdong China,0,Neutral,103,174,5,87.8
  Digital Printer Dye Sublimation ,6300,Jinxian technology Co. Ltd.,1,1 Set,4.9,7,Customer service,72,0,15,Shenzhen,Guangdong China,0,Neutral,322,159,4.1,94.4
  Digital Printer Dye Sublimation ,6300,Jinxian technology Co. Ltd.,1,1 Set,4.9,7,Customer service,72,0,15,guangzhou,Guangdong China,0,Neutral,127,128,4.6,94.4
  Digital Printer Dye Sublimation ,6300,Jinxian technology Co. Ltd.,1,1 Set,4.9,7,Customer service,72,0,15,Shenzhen,Guangdong China,0,Neutral,154,123,5,94.4
