Product_name,Product_Price,Product_Company,Product_Warranty_Years,Product_Min_order,Product_Rating,Product_Raters,Product_Feedback,Product_Delivery_ResponseRate,Product_Sale,Product_Reviews,Product_Port,Prod_origin_place
Plus Series Switches ,1850,Beijing Baochuangchaorui Technology Co. Ltd.,5,1 Piece,4.9,18,Good response,90,0,15,Shenzhen  HK,Guangdong China
Plus Series Switches ,1850,Beijing Baochuangchaorui Technology Co. Ltd.,5,1 Piece,4.9,18,Good response,90,0,15,China Shenzhen Hong Kong Moscow,Liaoning China
Plus Series Switches ,1850,Beijing Baochuangchaorui Technology Co. Ltd.,5,1 Piece,4.9,18,Good response,90,0,15,Shanghai Ningbo Shenzhen for PoE Extender,Zhejiang China
Plus Series Switches ,1850,Beijing Baochuangchaorui Technology Co. Ltd.,5,1 Piece,4.9,18,Good response,90,0,15,shenzhen,Guangdong China
Plus Series Switches ,1850,Beijing Baochuangchaorui Technology Co. Ltd.,5,1 Piece,4.9,18,Good response,90,0,15,Shenzhen,Liaoning China
Plus Series Switches ,1850,Beijing Baochuangchaorui Technology Co. Ltd.,5,1 Piece,4.9,18,Good response,90,0,15,ShenzhenChina,Guangdong China
Plus Series Switches ,1850,Beijing Baochuangchaorui Technology Co. Ltd.,5,1 Piece,4.9,18,Good response,90,0,15,Shenzhen,Liaoning China
Huawei NE20ES Router,390,Beijing Huli Tong Technology Company Limited,2,1 Piece,5,13,Great partner,90,0,15,Shenzhen,Guangdong China
Dot Matrix Impact printer,100,Rongta Technology (Xiamen) Group Co. Ltd.,9,1 Unit,4.7,17,Fast delivery,97,0,15,hong Kong,Zhejiang China
Dot Matrix Impact printer,100,Rongta Technology (Xiamen) Group Co. Ltd.,9,1 Unit,4.7,17,Fast delivery,97,0,15,Shenzhen,Zhejiang China
Dot Matrix Impact printer,100,Rongta Technology (Xiamen) Group Co. Ltd.,9,1 Unit,4.7,17,Fast delivery,97,0,15,shenzhen china,China
Dot Matrix Impact printer,100,Rongta Technology (Xiamen) Group Co. Ltd.,9,1 Unit,4.7,17,Fast delivery,97,0,15,guangzhou,Guangdong China
